dataset,method,probe,test_fold,bin,f1_macro,n_test
aef,shrink_a0.5,knn,1,tiny(<50),0.2997052585742322,2468
aef,shrink_a0.5,knn,1,small(50-150),0.3983276270151179,6598
aef,shrink_a0.5,knn,1,medium(150-500),0.5090004740312154,6256
aef,shrink_a0.5,knn,1,large(>500),0.5819503240594273,1907
aef,shrink_a0.5,linear,2,overall,0.5888990130040955,17559
aef,shrink_a0.5,linear,2,tiny(<50),0.3424217449856467,2846
aef,shrink_a0.5,linear,2,small(50-150),0.5145433701522749,6651
aef,shrink_a0.5,linear,2,medium(150-500),0.6525901781567504,6126
aef,shrink_a0.5,linear,2,large(>500),0.6857376333564524,1936
aef,shrink_a0.5,knn,2,overall,0.4700367564105482,17559
aef,shrink_a0.5,knn,2,tiny(<50),0.2977179493587172,2846
aef,shrink_a0.5,knn,2,small(50-150),0.392326371773334,6651
